;Direct Emission Intensity of National Electricity Mix [kgCO2/kWh]
Algeria;0,368465674
Angola;0,211586902
Benin;0,569937508
Botswana;0,758690185
Burkina Faso;0,622175184
Burundi;0,130250762
Cabo Verde;0,490646098
Cameroon;0,188432845
Central African Republic;0,026231419
Chad;0,711870236
Comoros;0,739726027
Democratic Republic of the Congo;0,000544116
Republic of the Congo;0,253866619
Ivory Coast;0,296286644
Djibouti;0,738351072
Egypt;0,382866951
Equatorial Guinea;0,251010146
Eritrea;0,715068493
Ethiopia;0,000223482
Gabon;0,25411386
Gambia;0,723123698
Ghana;0,210231396
Guinea;0,449771689
Guinea-Bissau;0,702739726
Kenya;0,149588247
Liberia;0,320766153
Libya;0,485887859
Madagascar;0,331077379
Malawi;0,168262177
Mali;0,26164741
Mauritania;0,576367118
Mauritius;0,600306287
Morocco;0,569198304
Mozambique;0,063796858
Namibia;0,029680473
Niger;0,739985633
Nigeria;0,286480374
Rwanda;0,243001586
Sao Tome and Principe;0,696212732
Senegal;0,651931301
Seychelles;0,71903439
Sierra Leone;0,180420982
Somalia;0,705460789
South Africa;0,674317378
South Sudan;0,735631603
Sudan;0,294852834
Tanzania;0,313802886
Togo;0,561414418
Tunisia;0,362889349
Uganda;0,035258797
Zambia;0,103313029
Zimbabwe;0,344831491
