Generator share,Renewable penetration,Curtailment share,Battery usage
Diesel Genset 1,Solar PV,-,Battery bank
1,1,1,1
%,%,%,%
0.58,99.55,20.83,53.45
1.11,99.1,17.13,53.18
1.99,98.32,13.7,52.57
3.5,96.94,10.7,51.34
5.78,94.81,8.37,49.34
8.71,92.03,6.72,46.69
11.87,88.97,5.42,43.84
14.98,85.89,4.24,41.03
18.04,82.8,3.17,38.31
21.08,79.69,2.26,35.61
24.2,76.5,1.58,32.86
27.31,73.32,1.07,30.15
30.37,70.17,0.69,27.51
33.39,67.09,0.41,24.95
36.33,64.08,0.21,22.57
39.22,61.15,0.1,20.5
42.03,58.31,0.03,18.92
44.76,55.57,0.01,17.94
47.42,52.93,0.0,17.89
49.99,50.4,0.0,18.66
